SateId,Panchayat
1,Port Blair Municipality
2,Adanki Town Panchayat
2,Allagadda Town Panchayat
2,Atmakur-N Municipality
2,Atmakur (Kurnool) Municipality
2,Chimakurthy Town Panchayat
2,Giddalur Town Panchayat
2,Gollaprollu Town Panchayat
2,Gooty Municipality
2,Gudur Town Panchayat
2,Jaggaiahpet Municipality
2,Jangareddygudem Municipality
2,Kalyandurg Municipality
2,Kanigiri Town Panchayat
2,Madakasira Town Panchayat
2,Mumidivaram Town Panchayat
2,Mydukur Municipality
2,NAIDUPET Municipality
2,Nandigama Town Panchayat
2,Nandikotkur Town Panchayat
2,Narsipatnam Municipality
2,Nellimarla Town Panchayat
2,Palakonda Town Panchayat
2,Pamidi Town Panchayat
2,PUTTAPARTHY Town Panchayat
2,Sullurpet Municipality
2,Tiruvuru Town Panchayat
2,Vuyyuru Town Panchayat
2,Yellamanchalli Municipality
2,Yeleswaram Town Panchayat
2,Yerraguntla Town Panchayat
2,Palasa Kasibugga Town Panchayat
2,Ichchapuram Town Panchayat
2,Rajam Town Panchayat
2,Amadalavalasa Town Panchayat
2,Srikakulam Municipal Corporation
2,Parvathipuram Municipality
2,Bobbili Municipality
2,Salur Municipality
2,Vizianagaram Municipal Corporation
2,GVMC Municipal Corporation
2,Tuni Municipality
2,Peddapuram Municipality
2,Rajahmundry Municipal Corporation
2,Samalkot Municipality
2,Pithapuram Municipality
2,Kakinada Municipal Corporation
2,Mandapeta Municipality
2,Ramachandrapuram Municipality
2,Amalapuram Municipality
2,Kovvur Municipality
2,Nidadavole Municipality
2,Tadepalligudem Municipality
2,Eluru Municipal Corporation
2,Tanuku Municipality
2,Bhimavaram Municipality
2,Narasapur Municipality
2,Palacole Municipality
2,Nuzvid Municipality
2,Vijayawada Municipal Corporation
2,Gudivada Municipality
2,Pedana Municipality
2,Machilipatnam Municipal Corporation
2,Macherla Municipality
2,Piduguralla Municipality
2,Tadepalle Municipality
2,Mangalagiri Municipality
2,Sattenapalle Municipality
2,Vinukonda Municipality
2,Narasaraopet Municipality
2,Chilakaluripet Municipality
2,Guntur Municipal Corporation
2,Tenali Municipality
2,Ponnur Municipality
2,Bapatla Municipality
2,Repalle Municipality
2,Markapur Municipality
2,Chirala Municipality
2,Ongole Municipal Corporation
2,Kandukur Municipality
2,Kavali Municipality
2,Nellore Municipal Corporation
2,Gudur Municipality
2,Venkatagiri Municipality
2,Badvel Municipality
2,Proddatur Municipality
2,Jammalamadugu Municipality
2,Pulivendla Municipality
2,Kadapa Municipal Corporation
2,Rayachoti Municipality
2,Rajampet Municipality
2,Yemmiganur Municipality
2,Kurnool Municipal Corporation
2,Adoni Municipality
2,Nandyal Municipality
2,Dhone(M) Municipality
2,Rayadurg Municipality
2,Guntakal Municipality
2,Tadpatri Municipality
2,Anantapur Municipal Corporation
2,Dharmavaram Municipality
2,Kadiri Municipality
2,Hindupur Municipality
2,Srikalahasti Municipality
2,Tirupati Municipal Corporation
2,Madanapalle Municipality
2,Nagari Municipality
2,Puttur Municipality (CHITTOOR)
2,Punganur Municipality
2,Chittoor Municipal Corporation
2,Palamaner Municipality
2,Akiveedu Town Panchayat
2,Bethamcherla Town Panchayat
2,Buchireddypalem Town Panchayat
2,Dachepalli Town Panchayat
2,Darsi Town Panchayat
2,Gurajala Town Panchayat
2,Kamalapuram Town Panchayat
2,Kondapalli Town Panchayat
2,Kuppam Municipality
2,Penukonda Town Panchayat
3,Itanagar Municipality
3,Pasighat Municipality
3,Tawang Town Panchayat
3,Bomdila Town Panchayat
3,Seppa Town Panchayat
3,Itanagar Town Panchayat
3,Naharlagun Town Panchayat
3,Daporijo Town Panchayat
3,Along Town Panchayat
3,Basar Town Panchayat
3,Pasighat Town Panchayat
3,Changlang Town Panchayat
3,Jairampur Town Panchayat
3,Deomali Town Panchayat
3,Khonsa Town Panchayat
3,Ziro Town Panchayat
3,Roing Town Panchayat
3,Tezu Town Panchayat
3,Namsai Town Panchayat
3,Sagalee
3,Doimukh
3,Koloriang
3,Palin
3,Raga
3,Dumporijo
3,Yingkiong Town Panchayat
3,Mariyang
3,Boleng
3,Pangin
3,Hawai
3,Namsai
3,Miao
3,Longding
3,Kimin Town
